iter	RMSE
0	10.35759418
1	9.259304385
2	8.203153881
3	7.283172847
4	6.468265374
5	5.785622983
6	5.142988795
7	4.572906884
8	4.117675119
9	3.678039178
10	3.270403496
11	2.950316566
12	2.628927671
13	2.354156254
14	2.130231983
15	1.922330918
16	1.720118302
17	1.544932859
18	1.398558326
19	1.286808843
20	1.172030814
21	1.076319273
22	0.9926974201
23	0.914391192
24	0.8406798209
25	0.7744675214
26	0.7141384615
27	0.6648102232
28	0.6227289422
29	0.5870415739
30	0.5530306
31	0.5236174551
32	0.4982944726
33	0.4763619251
34	0.457684166
35	0.4393587433
36	0.427802271
37	0.4154416649
38	0.4055852854
39	0.3977947251
40	0.3888641084
41	0.3815373286
42	0.3746041078
43	0.3695854952
44	0.3645883026
45	0.3602890553
46	0.3566212964
47	0.3528779287
48	0.3490130171
49	0.3437999047
50	0.3406302951
51	0.3390602758
52	0.3347765058
53	0.3299439621
54	0.3276047027
55	0.3236331735
56	0.3208004152
57	0.3184037966
58	0.3173172812
59	0.3155823963
60	0.3133332277
61	0.3119403752
62	0.3086013105
63	0.3065694437
64	0.3053224782
65	0.3004317746
66	0.2987457256
67	0.2976487085
68	0.2962384289
69	0.2943951381
70	0.2930775319
71	0.2919366547
72	0.2879669052
73	0.2868721746
74	0.2825649345
75	0.2816525303
76	0.2774299326
77	0.2754255831
78	0.2745442728
79	0.2734937239
80	0.2703648974
81	0.2685290423
82	0.2660953641
83	0.2647993033
84	0.261308042
85	0.2607329689
86	0.2595470711
87	0.2579170244
88	0.2558207301
89	0.2546973285
90	0.2518238445
91	0.250252072
92	0.248788247
93	0.2467947446
94	0.2458299503
95	0.2441149487
96	0.2429012218
97	0.2416429696
98	0.241132377
99	0.2399564222
100	0.2386869578
101	0.2361142973
102	0.2344868878
103	0.233439052
104	0.2319357338
105	0.231365165
106	0.2298848579
107	0.2276667706
108	0.2263855886
109	0.2250647501
110	0.2236845327
111	0.2209888432
112	0.2194251602
113	0.2176827126
114	0.2163185633
115	0.2149214678
116	0.2136091557
117	0.2130396256
118	0.2121293328
119	0.2106009751
120	0.2098930139
121	0.2083246438
122	0.2060833661
123	0.2051424239
124	0.2039049808
125	0.2026667964
126	0.2018348399
127	0.2005237206
128	0.1994727453
129	0.1979181579
130	0.1972841782
131	0.1964445082
132	0.1957268391
133	0.1945658191
134	0.1933429748
135	0.1925263984
136	0.1914270747
137	0.1901584439
138	0.1895275828
139	0.1885193864
140	0.1870880475
141	0.1863935059
142	0.1856339494
143	0.1846480792
144	0.1835408332
145	0.1825657958
146	0.181869819
147	0.1805576065
148	0.1797893019
149	0.1787572838
150	0.1779618963
151	0.176886713
152	0.1756565554
153	0.1750681449
154	0.1739349965
155	0.1731883327
156	0.1723565326
157	0.1721025562
158	0.1715238324
159	0.1708312122
160	0.1703024146
161	0.169471472
162	0.1686077121
163	0.1680383404
164	0.167453038
165	0.1660535589
166	0.1652670677
167	0.1645364176
168	0.1638397267
169	0.1623650011
170	0.1611676888
171	0.1608500682
172	0.1601338526
173	0.1592803451
174	0.158390327
175	0.1572762617
176	0.156897439
177	0.1561406248
178	0.1555621649
179	0.1551026298
180	0.1545858167
181	0.1538190008
182	0.1532524352
183	0.1524216265
184	0.1520523384
185	0.1512966625
186	0.1504748598
187	0.1499959158
188	0.1490678142
189	0.1483127792
190	0.1477320035
191	0.1474162656
192	0.1466134786
193	0.145827781
194	0.1451866568
195	0.1446305468
196	0.1442792052
197	0.144023503
198	0.14350192
199	0.1430693168
200	0.1425130138
201	0.1420787616
202	0.1417616054
203	0.1415157932
204	0.140973304
205	0.1398287867
206	0.1392733349
207	0.1385468777
208	0.1378539971
209	0.1372722974
210	0.1368989604
211	0.1366156321
212	0.1364296671
213	0.1358138636
214	0.1356897914
215	0.1352555933
216	0.134422817
217	0.1335509804
218	0.1332302243
219	0.1327493484
220	0.1324826312
221	0.1320326768
222	0.131661015
223	0.1308425648
224	0.1304284341
225	0.130045158
226	0.1296674875
227	0.1291612881
228	0.1287314857
229	0.1280565979
230	0.127712779
231	0.1271955359
232	0.1269708825
233	0.1264080705
234	0.1261182821
235	0.1257862881
236	0.1255149398
237	0.1252591863
238	0.1246218431
239	0.1239893124
240	0.1236275365
241	0.1231173174
242	0.1228912385
243	0.1224692489
244	0.121902973
245	0.1209692119
246	0.1205737
247	0.1202865564
248	0.1198887933
249	0.1195042564
250	0.1191902726
251	0.1188447768
252	0.1186086803
253	0.1183528425
254	0.1179898905
255	0.1175930491
256	0.1172135671
257	0.1169125237
258	0.1165948308
259	0.1161531939
260	0.1158546479
261	0.1150597599
262	0.1145716409
263	0.1140523405
264	0.1139743361
265	0.113247363
266	0.1131055506
267	0.1123914403
268	0.1116192251
269	0.1111907973
270	0.1108117847
271	0.1103550573
272	0.1099778905
273	0.1096051591
274	0.1090787194
275	0.1088812745
276	0.1086876174
277	0.1083456449
278	0.1082180514
279	0.1079510557
280	0.1072327104
281	0.1067887951
282	0.1066082342
283	0.1058863124
284	0.1055437794
285	0.1052835118
286	0.105062013
287	0.1047172984
288	0.1043946302
289	0.1041230733
290	0.1038016926
