Cidade,Tipo de Cliente,Gênero,Linha de Produto,Preço Unitário,Quantidade,Imposto 5%,Total,Hora,Pagamento,Custo de Bens Vendidos,Percentual de Margem Bruta,Receita Bruta,Avaliação,Mês,Dia,Turno,Estação
Yangon,Recorrente,Feminino,Saúde e Beleza,74.69,7,26.1415,548.9715,13:08,Carteira Eletrônica,522.83,4.761904762,26.1415,9.1,1,5,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Acessórios Eletrônicos,15.28,5,3.82,80.22,10:29,Dinheiro,76.4,4.761904762,3.82,9.6,3,8,manhã,Primavera
Yangon,Ocasional,Masculino,Casa e Estilo de Vida,46.33,7,16.2155,340.5255,13:23,Crédito,324.31,4.761904762,16.2155,7.4,3,3,tarde,Primavera
Yangon,Recorrente,Masculino,Saúde e Beleza,58.22,8,23.288,489.048,20:33,Carteira Eletrônica,465.76,4.761904762,23.288,8.4,1,27,noite,Inverno
Yangon,Ocasional,Masculino,Viagens e Esportes,86.31,7,30.2085,634.3785,10:37,Carteira Eletrônica,604.17,4.761904762,30.2085,5.3,2,8,manhã,Inverno
Naypyitaw,Ocasional,Masculino,Acessórios Eletrônicos,85.39,7,29.8865,627.6165,18:30,Carteira Eletrônica,597.73,4.761904762,29.8865,4.1,3,25,noite,Primavera
Yangon,Recorrente,Feminino,Acessórios Eletrônicos,68.84,6,20.652,433.692,14:36,Carteira Eletrônica,413.04,4.761904762,20.652,5.8,2,25,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Casa e Estilo de Vida,73.56,10,36.78,772.38,11:38,Carteira Eletrônica,735.6,4.761904762,36.78,8.0,2,24,manhã,Inverno
Yangon,Recorrente,Feminino,Saúde e Beleza,36.26,2,3.626,76.146,17:15,Crédito,72.52,4.761904762,3.626,7.2,1,10,tarde,Inverno
Mandalay,Recorrente,Feminino,Comidas e Bebidas,54.84,3,8.226,172.746,13:27,Crédito,164.52,4.761904762,8.226,5.9,2,20,tarde,Inverno
Mandalay,Recorrente,Feminino,Acessórios de Moda,14.48,4,2.896,60.816,18:07,Carteira Eletrônica,57.92,4.761904762,2.896,4.5,2,6,noite,Inverno
Mandalay,Recorrente,Masculino,Acessórios Eletrônicos,25.51,4,5.102,107.142,17:03,Dinheiro,102.04,4.761904762,5.102,6.8,3,9,tarde,Primavera
Yangon,Ocasional,Feminino,Acessórios Eletrônicos,46.95,5,11.7375,246.4875,10:25,Carteira Eletrônica,234.75,4.761904762,11.7375,7.1,2,12,manhã,Inverno
Yangon,Ocasional,Masculino,Comidas e Bebidas,43.19,10,21.595,453.495,16:48,Carteira Eletrônica,431.9,4.761904762,21.595,8.2,2,7,tarde,Inverno
Yangon,Ocasional,Feminino,Saúde e Beleza,71.38,10,35.69,749.49,19:21,Dinheiro,713.8,4.761904762,35.69,5.7,3,29,noite,Primavera
Mandalay,Recorrente,Feminino,Viagens e Esportes,93.72,6,28.116,590.436,16:19,Dinheiro,562.32,4.761904762,28.116,4.5,1,15,tarde,Inverno
Yangon,Recorrente,Feminino,Saúde e Beleza,68.93,7,24.1255,506.6355,11:03,Crédito,482.51,4.761904762,24.1255,4.6,3,11,manhã,Primavera
Yangon,Ocasional,Masculino,Viagens e Esportes,72.61,6,21.783,457.443,10:39,Crédito,435.66,4.761904762,21.783,6.9,1,1,manhã,Inverno
Yangon,Ocasional,Masculino,Comidas e Bebidas,54.67,3,8.2005,172.2105,18:00,Crédito,164.01,4.761904762,8.2005,8.6,1,21,noite,Inverno
Mandalay,Ocasional,Feminino,Casa e Estilo de Vida,40.3,2,4.03,84.63,15:30,Carteira Eletrônica,80.6,4.761904762,4.03,4.4,3,11,tarde,Primavera
Naypyitaw,Recorrente,Masculino,Acessórios Eletrônicos,86.04,5,21.51,451.71,11:24,Carteira Eletrônica,430.2,4.761904762,21.51,4.8,2,25,manhã,Inverno
Mandalay,Ocasional,Masculino,Saúde e Beleza,87.98,3,13.197,277.137,10:40,Carteira Eletrônica,263.94,4.761904762,13.197,5.1,3,5,manhã,Primavera
Mandalay,Ocasional,Masculino,Casa e Estilo de Vida,33.2,2,3.32,69.72,12:20,Crédito,66.4,4.761904762,3.32,4.4,3,15,tarde,Primavera
Yangon,Ocasional,Masculino,Acessórios Eletrônicos,34.56,5,8.64,181.44,11:15,Carteira Eletrônica,172.8,4.761904762,8.64,9.9,2,17,manhã,Inverno
Yangon,Recorrente,Masculino,Viagens e Esportes,88.63,3,13.2945,279.1845,17:36,Carteira Eletrônica,265.89,4.761904762,13.2945,6.0,3,2,tarde,Primavera
Yangon,Recorrente,Feminino,Casa e Estilo de Vida,52.59,8,21.036,441.756,19:20,Crédito,420.72,4.761904762,21.036,8.5,3,22,noite,Primavera
Mandalay,Ocasional,Masculino,Acessórios de Moda,33.52,1,1.676,35.196,15:31,Dinheiro,33.52,4.761904762,1.676,6.7,2,8,tarde,Inverno
Yangon,Ocasional,Feminino,Acessórios de Moda,87.67,2,8.767,184.107,12:17,Crédito,175.34,4.761904762,8.767,7.7,3,10,tarde,Primavera
Mandalay,Ocasional,Feminino,Comidas e Bebidas,88.36,5,22.09,463.89,19:48,Dinheiro,441.8,4.761904762,22.09,9.6,1,25,noite,Inverno
Yangon,Ocasional,Masculino,Saúde e Beleza,24.89,9,11.2005,235.2105,15:36,Dinheiro,224.01,4.761904762,11.2005,7.4,3,15,tarde,Primavera
Mandalay,Ocasional,Masculino,Acessórios de Moda,94.13,5,23.5325,494.1825,19:39,Crédito,470.65,4.761904762,23.5325,4.8,2,25,noite,Inverno
Mandalay,Recorrente,Masculino,Viagens e Esportes,78.07,9,35.1315,737.7615,12:43,Dinheiro,702.63,4.761904762,35.1315,4.5,1,28,tarde,Inverno
Mandalay,Ocasional,Masculino,Viagens e Esportes,83.78,8,33.512,703.752,14:49,Dinheiro,670.24,4.761904762,33.512,5.1,1,10,tarde,Inverno
Yangon,Ocasional,Masculino,Saúde e Beleza,96.58,2,9.658,202.818,10:12,Crédito,193.16,4.761904762,9.658,5.1,3,15,manhã,Primavera
Naypyitaw,Recorrente,Feminino,Comidas e Bebidas,99.42,4,19.884,417.564,10:42,Carteira Eletrônica,397.68,4.761904762,19.884,7.5,2,6,manhã,Inverno
Naypyitaw,Recorrente,Feminino,Viagens e Esportes,68.12,1,3.406,71.526,12:28,Carteira Eletrônica,68.12,4.761904762,3.406,6.8,1,7,tarde,Inverno
Yangon,Recorrente,Masculino,Viagens e Esportes,62.62,5,15.655,328.755,19:15,Carteira Eletrônica,313.1,4.761904762,15.655,7.0,3,10,noite,Primavera
Yangon,Ocasional,Feminino,Acessórios Eletrônicos,60.88,9,27.396,575.316,17:17,Carteira Eletrônica,547.92,4.761904762,27.396,4.7,1,15,tarde,Inverno
Naypyitaw,Ocasional,Feminino,Saúde e Beleza,54.92,8,21.968,461.328,13:24,Carteira Eletrônica,439.36,4.761904762,21.968,7.6,3,23,tarde,Primavera
Mandalay,Recorrente,Masculino,Casa e Estilo de Vida,30.12,8,12.048,253.008,13:01,Dinheiro,240.96,4.761904762,12.048,7.7,3,3,tarde,Primavera
Mandalay,Recorrente,Feminino,Casa e Estilo de Vida,86.72,1,4.336,91.056,18:45,Carteira Eletrônica,86.72,4.761904762,4.336,7.9,1,17,noite,Inverno
Naypyitaw,Recorrente,Masculino,Casa e Estilo de Vida,56.11,2,5.611,117.831,10:11,Dinheiro,112.22,4.761904762,5.611,6.3,2,2,manhã,Inverno
Mandalay,Recorrente,Feminino,Viagens e Esportes,69.12,6,20.736,435.456,13:03,Dinheiro,414.72,4.761904762,20.736,5.6,2,8,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Comidas e Bebidas,98.7,8,39.48,829.08,20:39,Dinheiro,789.6,4.761904762,39.48,7.6,3,4,noite,Primavera
Naypyitaw,Recorrente,Masculino,Saúde e Beleza,15.37,2,1.537,32.277,19:47,Dinheiro,30.74,4.761904762,1.537,7.2,3,16,noite,Primavera
Mandalay,Recorrente,Feminino,Acessórios Eletrônicos,93.96,4,18.792,394.632,18:00,Dinheiro,375.84,4.761904762,18.792,9.5,3,9,noite,Primavera
Mandalay,Recorrente,Masculino,Saúde e Beleza,56.69,9,25.5105,535.7205,17:24,Crédito,510.21,4.761904762,25.5105,8.4,2,27,tarde,Inverno
Mandalay,Recorrente,Feminino,Comidas e Bebidas,20.01,9,9.0045,189.0945,15:47,Carteira Eletrônica,180.09,4.761904762,9.0045,4.1,2,6,tarde,Inverno
Mandalay,Recorrente,Masculino,Acessórios Eletrônicos,18.93,6,5.679,119.259,12:45,Crédito,113.58,4.761904762,5.679,8.1,2,10,tarde,Inverno
Naypyitaw,Recorrente,Feminino,Acessórios de Moda,82.63,10,41.315,867.615,17:08,Carteira Eletrônica,826.3,4.761904762,41.315,7.9,3,19,tarde,Primavera
Naypyitaw,Recorrente,Masculino,Comidas e Bebidas,91.4,7,31.99,671.79,10:19,Dinheiro,639.8,4.761904762,31.99,9.5,2,3,manhã,Inverno
Yangon,Recorrente,Feminino,Comidas e Bebidas,44.59,5,11.1475,234.0975,15:10,Dinheiro,222.95,4.761904762,11.1475,8.5,2,10,tarde,Inverno
Mandalay,Recorrente,Feminino,Acessórios de Moda,17.87,4,3.574,75.054,14:42,Carteira Eletrônica,71.48,4.761904762,3.574,6.5,3,22,tarde,Primavera
Naypyitaw,Recorrente,Masculino,Acessórios de Moda,15.43,1,0.7715,16.2015,15:46,Crédito,15.43,4.761904762,0.7715,6.1,1,25,tarde,Inverno
Mandalay,Ocasional,Masculino,Casa e Estilo de Vida,16.16,2,1.616,33.936,11:49,Carteira Eletrônica,32.32,4.761904762,1.616,6.5,3,7,manhã,Primavera
Naypyitaw,Ocasional,Feminino,Acessórios Eletrônicos,85.98,8,34.392,722.232,19:01,Dinheiro,687.84,4.761904762,34.392,8.2,2,28,noite,Inverno
Yangon,Recorrente,Masculino,Casa e Estilo de Vida,44.34,2,4.434,93.114,11:26,Dinheiro,88.68,4.761904762,4.434,5.8,3,27,manhã,Primavera
Yangon,Ocasional,Masculino,Saúde e Beleza,89.6,8,35.84,752.64,11:28,Carteira Eletrônica,716.8,4.761904762,35.84,6.6,2,7,manhã,Inverno
Yangon,Recorrente,Feminino,Casa e Estilo de Vida,72.35,10,36.175,759.675,15:55,Dinheiro,723.5,4.761904762,36.175,5.4,1,20,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Acessórios Eletrônicos,30.61,6,9.183,192.843,20:36,Dinheiro,183.66,4.761904762,9.183,9.3,3,12,noite,Primavera
Naypyitaw,Recorrente,Feminino,Viagens e Esportes,24.74,3,3.711,77.931,17:47,Crédito,74.22,4.761904762,3.711,10.0,2,15,tarde,Inverno
Naypyitaw,Ocasional,Masculino,Casa e Estilo de Vida,55.73,6,16.719,351.099,10:55,Carteira Eletrônica,334.38,4.761904762,16.719,7.0,2,24,manhã,Inverno
Mandalay,Recorrente,Feminino,Viagens e Esportes,55.07,9,24.7815,520.4115,13:40,Carteira Eletrônica,495.63,4.761904762,24.7815,10.0,2,3,tarde,Inverno
Yangon,Recorrente,Masculino,Viagens e Esportes,15.81,10,7.905,166.005,12:27,Crédito,158.1,4.761904762,7.905,8.6,3,6,tarde,Primavera
Mandalay,Recorrente,Masculino,Saúde e Beleza,75.74,4,15.148,318.108,14:35,Dinheiro,302.96,4.761904762,15.148,7.6,2,14,tarde,Inverno
